"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2023","1,646.00","1,572.11","1,657.18","1,566.91","551.82K","4.63%"
"01/28/2023","1,573.11","1,597.62","1,605.95","1,561.38","313.56K","-1.53%"
"01/27/2023","1,597.61","1,602.14","1,620.12","1,560.24","512.50K","-0.31%"
"01/26/2023","1,602.60","1,613.59","1,629.83","1,581.74","533.32K","-0.53%"
"01/25/2023","1,611.22","1,553.98","1,638.98","1,523.70","646.45K","3.55%"
"01/24/2023","1,555.97","1,626.00","1,641.20","1,539.60","462.28K","-4.34%"
"01/23/2023","1,626.53","1,627.18","1,643.71","1,591.82","407.24K","-0.03%"
"01/22/2023","1,627.01","1,626.68","1,662.10","1,609.36","431.74K","0.09%"
"01/21/2023","1,625.49","1,655.36","1,678.51","1,622.88","494.56K","-2.08%"
"01/20/2023","1,660.02","1,550.81","1,662.28","1,543.24","440.92K","7.02%"
"01/19/2023","1,551.09","1,510.63","1,560.69","1,510.63","308.69K","2.64%"
"01/18/2023","1,511.24","1,566.18","1,604.75","1,505.36","752.35K","-3.41%"
"01/17/2023","1,564.63","1,576.60","1,603.29","1,544.30","506.70K","-0.78%"
"01/16/2023","1,576.93","1,551.79","1,598.18","1,526.46","574.57K","1.56%"
"01/15/2023","1,552.69","1,549.31","1,564.36","1,517.35","387.73K","0.17%"
"01/14/2023","1,550.06","1,450.88","1,574.44","1,449.48","940.70K","6.84%"
"01/13/2023","1,450.89","1,415.15","1,463.51","1,402.01","499.35K","2.46%"
"01/12/2023","1,416.08","1,389.52","1,435.99","1,365.45","878.39K","1.89%"
"01/11/2023","1,389.84","1,335.63","1,392.37","1,322.10","472.34K","4.10%"
"01/10/2023","1,335.14","1,320.33","1,344.42","1,316.92","459.70K","1.11%"
"01/09/2023","1,320.49","1,290.22","1,344.38","1,285.94","582.00K","2.50%"
"01/08/2023","1,288.25","1,264.24","1,288.71","1,259.17","212.71K","1.93%"
"01/07/2023","1,263.90","1,269.02","1,270.96","1,261.42","129.47K","-0.41%"
"01/06/2023","1,269.13","1,251.49","1,274.82","1,240.34","342.41K","1.45%"
"01/05/2023","1,250.94","1,256.76","1,259.05","1,242.90","272.83K","-0.47%"
"01/04/2023","1,256.91","1,214.96","1,266.97","1,212.89","457.67K","3.49%"
"01/03/2023","1,214.55","1,214.00","1,219.73","1,206.82","205.59K","0.05%"
"01/02/2023","1,213.90","1,200.61","1,220.67","1,193.75","252.81K","1.12%"
"01/01/2023","1,200.51","1,195.92","1,204.10","1,191.64","117.85K","0.41%"
"12/31/2022","1,195.65","1,200.32","1,207.71","1,193.15","139.35K","-0.36%"
"12/30/2022","1,199.99","1,200.50","1,202.11","1,186.08","266.04K","-0.07%"
"12/29/2022","1,200.80","1,190.53","1,205.27","1,187.16","249.10K","0.91%"
"12/28/2022","1,189.93","1,211.44","1,214.18","1,184.18","367.81K","-1.78%"
"12/27/2022","1,211.55","1,228.19","1,233.10","1,202.04","262.62K","-1.31%"
"12/26/2022","1,227.62","1,219.00","1,230.35","1,213.01","162.50K","0.74%"
"12/25/2022","1,218.65","1,220.42","1,223.78","1,201.21","231.67K","-0.15%"
"12/24/2022","1,220.44","1,219.98","1,226.19","1,214.70","123.68K","0.04%"
"12/23/2022","1,219.99","1,218.06","1,228.35","1,212.81","278.70K","0.21%"
"12/22/2022","1,217.46","1,213.37","1,229.34","1,185.24","336.84K","0.29%"
"12/21/2022","1,213.92","1,216.89","1,218.62","1,205.45","245.72K","-0.27%"
"12/20/2022","1,217.18","1,167.56","1,229.00","1,163.57","465.20K","4.23%"
